repository,metric,n,spearman_r,spearman_p,auroc_abs_direction,auprc_raw_direction
click,mean_pairwise_item_jaccard_from_score,9,,,,
click,mean_pairwise_source_jaccard,9,,,,
click,source_coverage_count,9,,,,
click,singleton_ratio_from_score,9,,,,
click,source_pairwise_cosine,9,,,,
click,source_normalized_effective_rank,9,,,,
click,source_logdet_volume,9,,,,
click,source_marginal_logdet_gain,9,,,,
click,source_concentration_entropy,9,,,,
click,source_concentration_hhi,9,,,,
click,source_concentration_gini,9,,,,
click,mean_confidence,9,,,,
itsdangerous,mean_pairwise_item_jaccard_from_score,9,,,,
itsdangerous,mean_pairwise_source_jaccard,9,,,,
itsdangerous,source_coverage_count,9,,,,
itsdangerous,singleton_ratio_from_score,9,,,,
itsdangerous,source_pairwise_cosine,9,,,,
itsdangerous,source_normalized_effective_rank,9,,,,
itsdangerous,source_logdet_volume,9,,,,
itsdangerous,source_marginal_logdet_gain,9,,,,
itsdangerous,source_concentration_entropy,9,,,,
itsdangerous,source_concentration_hhi,9,,,,
itsdangerous,source_concentration_gini,9,,,,
itsdangerous,mean_confidence,9,,,,
requests,mean_pairwise_item_jaccard_from_score,20,,,,
requests,mean_pairwise_source_jaccard,20,,,,
requests,source_coverage_count,20,,,,
requests,singleton_ratio_from_score,20,,,,
requests,source_pairwise_cosine,20,,,,
requests,source_normalized_effective_rank,20,,,,
requests,source_logdet_volume,20,,,,
requests,source_marginal_logdet_gain,20,,,,
requests,source_concentration_entropy,20,,,,
requests,source_concentration_hhi,20,,,,
requests,source_concentration_gini,20,,,,
requests,mean_confidence,20,,,,
