base_condition,challenger,seed,targeted_strata,challenger_events,base_true_items,new_true_items,cumulative_true_items,cumulative_recall,new_true_item_ids
homogeneous,low_exposure,0,access_control::deadline_route;access_control::exception_route;access_control::prohibition_route;audit_and_exceptions::deadline_route,13,17,2,19,0.7916666666666666,P04;P06
homogeneous,low_discovery,0,access_control::deadline_route;access_control::exception_route;access_control::prohibition_route;audit_and_exceptions::deadline_route,13,17,2,19,0.7916666666666666,P04;P06
homogeneous,residual_potential,0,audit_and_exceptions::deadline_route;audit_and_exceptions::exception_route;data_handling::exception_route;release_process::deadline_route,17,17,4,21,0.875,P10;P11;P12;P23
homogeneous,random,0,audit_and_exceptions::obligation_route;audit_and_exceptions::prohibition_route;data_handling::deadline_route;access_control::obligation_route,15,17,0,17,0.7083333333333334,
homogeneous,random,1,data_handling::obligation_route;release_process::exception_route;audit_and_exceptions::exception_route;audit_and_exceptions::obligation_route,16,17,2,19,0.7916666666666666,P16;P23
homogeneous,random,2,access_control::exception_route;audit_and_exceptions::prohibition_route;audit_and_exceptions::deadline_route;data_handling::exception_route,14,17,5,22,0.9166666666666666,P04;P06;P10;P11;P12
homogeneous,random,3,data_handling::prohibition_route;release_process::exception_route;release_process::obligation_route;access_control::deadline_route,14,17,2,19,0.7916666666666666,P11;P16
homogeneous,random,4,data_handling::prohibition_route;data_handling::obligation_route;access_control::exception_route;release_process::prohibition_route,11,17,3,20,0.8333333333333334,P04;P06;P11
homogeneous,random,5,release_process::obligation_route;release_process::prohibition_route;data_handling::exception_route;audit_and_exceptions::obligation_route,17,17,3,20,0.8333333333333334,P10;P11;P12
homogeneous,random,6,access_control::deadline_route;data_handling::prohibition_route;audit_and_exceptions::obligation_route;data_handling::obligation_route,16,17,1,18,0.75,P11
homogeneous,random,7,release_process::deadline_route;access_control::deadline_route;data_handling::deadline_route;audit_and_exceptions::prohibition_route,11,17,0,17,0.7083333333333334,
homogeneous,random,8,data_handling::prohibition_route;data_handling::exception_route;data_handling::deadline_route;access_control::deadline_route,12,17,3,20,0.8333333333333334,P10;P11;P12
homogeneous,random,9,audit_and_exceptions::deadline_route;release_process::exception_route;data_handling::exception_route;data_handling::obligation_route,15,17,4,21,0.875,P10;P11;P12;P16
homogeneous,random,10,access_control::exception_route;data_handling::deadline_route;data_handling::prohibition_route;release_process::exception_route,10,17,4,21,0.875,P04;P06;P11;P16
homogeneous,random,11,audit_and_exceptions::deadline_route;audit_and_exceptions::exception_route;release_process::obligation_route;audit_and_exceptions::obligation_route,21,17,1,18,0.75,P23
homogeneous,random,12,audit_and_exceptions::prohibition_route;data_handling::obligation_route;release_process::deadline_route;release_process::obligation_route,16,17,0,17,0.7083333333333334,
homogeneous,random,13,release_process::obligation_route;data_handling::obligation_route;release_process::deadline_route;audit_and_exceptions::exception_route,18,17,1,18,0.75,P23
homogeneous,random,14,access_control::prohibition_route;release_process::exception_route;release_process::prohibition_route;audit_and_exceptions::obligation_route,11,17,2,19,0.7916666666666666,P06;P16
homogeneous,random,15,data_handling::deadline_route;access_control::obligation_route;release_process::obligation_route;release_process::prohibition_route,14,17,0,17,0.7083333333333334,
homogeneous,random,16,release_process::prohibition_route;data_handling::prohibition_route;audit_and_exceptions::deadline_route;data_handling::obligation_route,13,17,1,18,0.75,P11
homogeneous,random,17,audit_and_exceptions::exception_route;audit_and_exceptions::obligation_route;data_handling::obligation_route;data_handling::exception_route,18,17,4,21,0.875,P10;P11;P12;P23
homogeneous,random,18,data_handling::exception_route;access_control::exception_route;release_process::deadline_route;data_handling::prohibition_route,14,17,5,22,0.9166666666666666,P04;P06;P10;P11;P12
homogeneous,random,19,access_control::exception_route;audit_and_exceptions::obligation_route;release_process::obligation_route;audit_and_exceptions::prohibition_route,17,17,2,19,0.7916666666666666,P04;P06
