task,condition,decision,recall,support,gini,repair_gain,cost
policy_docset_v1,homogeneous,CONTINUE,0.7083333333333334,0.25,0.7708333333333333,0.0,0.0
policy_docset_v1,route_partitioned,SAFE,1.0,0.75,0.3854166666666667,0.0,0.0
code_repo_v1,homogeneous,CONTINUE,0.3,0.3333333333333333,0.75,0.0,0.0
code_repo_v1,route_partitioned,SAFE,0.95,1.0,0.1994949494949496,0.0,0.0
requests,homogeneous,CONTINUE,0.1040268456375839,0.25,0.8885135135135134,0.0,0.0
requests,route_partitioned,SAFE,1.0,1.0,0.6074016563146998,0.0,0.0
urllib3,extended_audit,SAFE,1.0,1.0,0.5502057613168723,0.0,0.0
urllib3,homogeneous,CONTINUE,0.1931330472103004,0.2,0.915130023640662,0.0,0.0
urllib3,route_partitioned,CONTINUE,0.8354792560801144,0.8,0.6471491228070174,0.0,0.0
requests,repair:random,CONTINUE,0.1073825503355704,0.3333333333333333,0.8793478260869565,1.0,3088.0
requests,repair:random,CONTINUE,0.2718120805369127,0.4166666666666667,0.8692028985507245,50.0,1998.0
requests,repair:random,CONTINUE,0.2483221476510067,0.3333333333333333,0.8800724637681159,43.0,1863.0
requests,repair:random,CONTINUE,0.1442953020134228,0.375,0.875,12.0,1976.0
requests,repair:random,CONTINUE,0.1442953020134228,0.375,0.873550724637681,12.0,2253.0
requests,repair:random,CONTINUE,0.1711409395973154,0.4166666666666667,0.8692028985507245,20.0,2545.0
requests,repair:random,CONTINUE,0.3288590604026846,0.4166666666666667,0.8692028985507245,67.0,2880.0
requests,repair:random,CONTINUE,0.1275167785234899,0.4166666666666667,0.8692028985507245,7.0,2596.0
requests,repair:random,CONTINUE,0.1342281879194631,0.4166666666666667,0.8692028985507245,9.0,1667.0
requests,repair:random,CONTINUE,0.285234899328859,0.4166666666666667,0.8692028985507245,54.0,2498.0
requests,repair:random,CONTINUE,0.2013422818791946,0.3333333333333333,0.8793478260869565,29.0,3605.0
requests,repair:random,CONTINUE,0.3859060402684564,0.375,0.875,84.0,3532.0
requests,repair:random,CONTINUE,0.2818791946308724,0.375,0.873550724637681,53.0,3270.0
requests,repair:random,ABSTAIN,0.1040268456375839,0.2916666666666667,0.8800724637681159,0.0,1871.0
