table,task,policy,budget,fcr,safe_coverage,continue_rate,abstain_rate,repair_gain,repair_cost,mean_cumulative_recall,state_type,seed
budget_sweep,requests,high_potential,1,0.0,,1.0,0.0,64.0,696.0,0.3187919463087248,seeded_unsafe_repair,mixed
budget_sweep,requests,high_potential,2,0.0,,1.0,0.0,106.0,1735.0,0.45973154362416113,seeded_unsafe_repair,mixed
budget_sweep,requests,high_potential,3,0.0,,1.0,0.0,144.0,2431.0,0.587248322147651,seeded_unsafe_repair,mixed
budget_sweep,requests,high_potential,4,0.0,,1.0,0.0,177.0,3262.0,0.697986577181208,seeded_unsafe_repair,mixed
budget_sweep,requests,high_potential,5,0.0,,1.0,0.0,207.0,4348.0,0.7986577181208054,seeded_unsafe_repair,mixed
budget_sweep,requests,high_potential,6,0.0,,1.0,0.0,227.0,5387.0,0.8657718120805369,seeded_unsafe_repair,mixed
budget_sweep,requests,high_potential,7,0.0,,1.0,0.0,227.0,6083.0,0.8657718120805369,seeded_unsafe_repair,mixed
budget_sweep,requests,high_potential,8,0.0,,1.0,0.0,236.0,6914.0,0.8959731543624162,seeded_unsafe_repair,mixed
budget_sweep,requests,random,1,0.0,,0.635,0.365,10.86,730.93,0.1404697986577181,seeded_unsafe_repair,mixed
budget_sweep,requests,random,2,0.0,,0.88,0.12,22.97,1464.0,0.18110738255033557,seeded_unsafe_repair,mixed
budget_sweep,requests,random,3,0.0,,0.965,0.035,34.905,2171.245,0.2211577181208054,seeded_unsafe_repair,mixed
budget_sweep,requests,random,4,0.0,,0.97,0.03,43.81,2908.085,0.25104026845637584,seeded_unsafe_repair,mixed
budget_sweep,requests,random,5,0.0,,0.995,0.005,54.795,3520.93,0.2879026845637584,seeded_unsafe_repair,mixed
budget_sweep,requests,random,6,0.0,,1.0,0.0,64.425,4243.775,0.3202181208053691,seeded_unsafe_repair,mixed
budget_sweep,requests,random,7,0.0,,1.0,0.0,74.44,4867.685,0.35382550335570473,seeded_unsafe_repair,mixed
budget_sweep,requests,random,8,0.0,,1.0,0.0,89.345,5564.3,0.40384228187919463,seeded_unsafe_repair,mixed
budget_sweep,requests,residual_potential,1,0.0,,1.0,0.0,64.0,696.0,0.3187919463087248,seeded_unsafe_repair,mixed
budget_sweep,requests,residual_potential,2,0.0,,1.0,0.0,106.0,1735.0,0.45973154362416113,seeded_unsafe_repair,mixed
budget_sweep,requests,residual_potential,3,0.0,,1.0,0.0,144.0,2431.0,0.587248322147651,seeded_unsafe_repair,mixed
budget_sweep,requests,residual_potential,4,0.0,,1.0,0.0,177.0,3262.0,0.697986577181208,seeded_unsafe_repair,mixed
budget_sweep,requests,residual_potential,5,0.0,,1.0,0.0,207.0,4348.0,0.7986577181208054,seeded_unsafe_repair,mixed
budget_sweep,requests,residual_potential,6,0.0,,1.0,0.0,227.0,5387.0,0.8657718120805369,seeded_unsafe_repair,mixed
budget_sweep,requests,residual_potential,7,0.0,,1.0,0.0,236.0,6218.0,0.8959731543624162,seeded_unsafe_repair,mixed
budget_sweep,requests,residual_potential,8,0.0,,1.0,0.0,244.0,7304.0,0.9228187919463086,seeded_unsafe_repair,mixed
budget_sweep,urllib3,high_potential,1,0.0,,1.0,0.0,82.0,533.0,0.3104434907010014,seeded_unsafe_repair,mixed
budget_sweep,urllib3,high_potential,2,0.0,,1.0,0.0,160.0,1626.0,0.4220314735336195,seeded_unsafe_repair,mixed
budget_sweep,urllib3,high_potential,3,0.0,,1.0,0.0,160.0,1901.0,0.4220314735336195,seeded_unsafe_repair,mixed
budget_sweep,urllib3,high_potential,4,0.0,,1.0,0.0,218.0,3079.0,0.5050071530758226,seeded_unsafe_repair,mixed
budget_sweep,urllib3,high_potential,5,0.0,,1.0,0.0,275.0,4386.0,0.586552217453505,seeded_unsafe_repair,mixed
budget_sweep,urllib3,high_potential,6,0.0,,1.0,0.0,275.0,5564.0,0.586552217453505,seeded_unsafe_repair,mixed
budget_sweep,urllib3,high_potential,7,0.0,,1.0,0.0,329.0,6742.0,0.6638054363376252,seeded_unsafe_repair,mixed
budget_sweep,urllib3,high_potential,8,0.0,,1.0,0.0,374.0,8049.0,0.7281831187410588,seeded_unsafe_repair,mixed
budget_sweep,urllib3,random,1,0.0,,0.64,0.36,16.76,811.345,0.21711015736766812,seeded_unsafe_repair,mixed
budget_sweep,urllib3,random,2,0.0,,0.84,0.16,36.595,1592.54,0.24548640915593706,seeded_unsafe_repair,mixed
budget_sweep,urllib3,random,3,0.0,,0.975,0.025,55.59,2448.625,0.27266094420600856,seeded_unsafe_repair,mixed
budget_sweep,urllib3,random,4,0.0,,0.98,0.02,71.09,3301.815,0.2948354792560801,seeded_unsafe_repair,mixed
budget_sweep,urllib3,random,5,0.0,,1.0,0.0,91.11,4135.185,0.3234763948497854,seeded_unsafe_repair,mixed
budget_sweep,urllib3,random,6,0.0,,1.0,0.0,112.45,4997.005,0.3540057224606581,seeded_unsafe_repair,mixed
budget_sweep,urllib3,random,7,0.0,,1.0,0.0,135.02,5813.38,0.38629470672389127,seeded_unsafe_repair,mixed
budget_sweep,urllib3,random,8,0.0,,1.0,0.0,152.825,6665.61,0.4117668097281831,seeded_unsafe_repair,mixed
budget_sweep,urllib3,residual_potential,1,0.0,,1.0,0.0,82.0,533.0,0.3104434907010014,seeded_unsafe_repair,mixed
budget_sweep,urllib3,residual_potential,2,0.0,,1.0,0.0,160.0,1626.0,0.4220314735336195,seeded_unsafe_repair,mixed
budget_sweep,urllib3,residual_potential,3,0.0,,1.0,0.0,218.0,2804.0,0.5050071530758226,seeded_unsafe_repair,mixed
