task,condition,state_type,seed,budget,challenger,full_decision,recall,support,gini,repair_gain,repair_cost,residual_warning,unresolved_warning,oracle_safe,geometry_ok
policy_docset_v1,homogeneous,fixed_stop_state,-1,0,,CONTINUE,0.7083333333333334,0.25,0.7708333333333333,0.0,0.0,False,False,False,False
policy_docset_v1,route_partitioned,fixed_stop_state,-1,0,,SAFE,1.0,0.75,0.3854166666666667,0.0,0.0,False,False,True,True
code_repo_v1,homogeneous,fixed_stop_state,-1,0,,CONTINUE,0.3,0.3333333333333333,0.75,0.0,0.0,False,False,False,False
code_repo_v1,route_partitioned,fixed_stop_state,-1,0,,SAFE,0.95,1.0,0.1994949494949496,0.0,0.0,False,False,True,True
requests,homogeneous,fixed_stop_state,-1,0,,CONTINUE,0.1040268456375839,0.25,0.8885135135135134,0.0,0.0,False,False,False,False
requests,route_partitioned,fixed_stop_state,-1,0,,SAFE,1.0,1.0,0.6074016563146998,0.0,0.0,False,False,True,True
urllib3,extended_audit,fixed_stop_state,-1,0,,SAFE,1.0,1.0,0.5502057613168723,0.0,0.0,False,False,True,True
urllib3,homogeneous,fixed_stop_state,-1,0,,CONTINUE,0.1931330472103004,0.2,0.915130023640662,0.0,0.0,False,False,False,False
urllib3,route_partitioned,fixed_stop_state,-1,0,,CONTINUE,0.8354792560801144,0.8,0.6471491228070174,0.0,0.0,True,False,False,True
requests,repair:random,seeded_unsafe_repair,0,4,random,CONTINUE,0.1073825503355704,0.3333333333333333,0.8793478260869565,1.0,3088.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,1,4,random,CONTINUE,0.2718120805369127,0.4166666666666667,0.8692028985507245,50.0,1998.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,2,4,random,CONTINUE,0.2483221476510067,0.3333333333333333,0.8800724637681159,43.0,1863.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,3,4,random,CONTINUE,0.1442953020134228,0.375,0.875,12.0,1976.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,4,4,random,CONTINUE,0.1442953020134228,0.375,0.873550724637681,12.0,2253.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,5,4,random,CONTINUE,0.1711409395973154,0.4166666666666667,0.8692028985507245,20.0,2545.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,6,4,random,CONTINUE,0.3288590604026846,0.4166666666666667,0.8692028985507245,67.0,2880.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,7,4,random,CONTINUE,0.1275167785234899,0.4166666666666667,0.8692028985507245,7.0,2596.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,8,4,random,CONTINUE,0.1342281879194631,0.4166666666666667,0.8692028985507245,9.0,1667.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,9,4,random,CONTINUE,0.285234899328859,0.4166666666666667,0.8692028985507245,54.0,2498.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,10,4,random,CONTINUE,0.2013422818791946,0.3333333333333333,0.8793478260869565,29.0,3605.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,11,4,random,CONTINUE,0.3859060402684564,0.375,0.875,84.0,3532.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,12,4,random,CONTINUE,0.2818791946308724,0.375,0.873550724637681,53.0,3270.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,13,4,random,ABSTAIN,0.1040268456375839,0.2916666666666667,0.8800724637681159,0.0,1871.0,False,False,False,False
requests,repair:random,seeded_unsafe_repair,14,4,random,CONTINUE,0.2449664429530201,0.4166666666666667,0.8692028985507245,42.0,3699.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,15,4,random,CONTINUE,0.4563758389261745,0.4166666666666667,0.8692028985507245,105.0,2770.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,16,4,random,CONTINUE,0.1879194630872483,0.3333333333333333,0.8764492753623188,25.0,2706.0,True,False,False,False
