source_family,oracle_bucket,oracle_items
connection,cleanup_route,17
connection,exception_route,25
connection,timeout_route,14
connection,tls_route,78
connectionpool,cleanup_route,37
connectionpool,exception_route,58
connectionpool,retry_route,54
connectionpool,timeout_route,56
connectionpool,tls_route,19
poolmanager,cleanup_route,11
poolmanager,exception_route,10
poolmanager,retry_route,18
poolmanager,timeout_route,2
poolmanager,tls_route,11
response,cleanup_route,45
response,exception_route,57
response,retry_route,14
response,timeout_route,1
response,tls_route,3
util_retry,cleanup_route,5
util_retry,exception_route,12
util_retry,retry_route,82
util_timeout,exception_route,8
util_timeout,timeout_route,62
