task,budget,challenger,seed,decision,false_certification,safe,continue,abstain,cost,runtime_residual_items,repair_gain,cumulative_recall,after_support_ratio,after_exposure_gini,after_weak_plausible_gap
requests,1,random,0,CONTINUE,False,False,True,False,1086,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,1,CONTINUE,False,False,True,False,314,5,5,0.1208053691275167,0.2916666666666667,0.8846726190476191,14
requests,1,random,2,CONTINUE,False,False,True,False,1086,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,3,CONTINUE,False,False,True,False,831,7,7,0.1275167785234899,0.2916666666666667,0.8846726190476191,14
requests,1,random,4,ABSTAIN,False,False,False,True,831,0,0,0.1040268456375839,0.25,0.888392857142857,15
requests,1,random,5,CONTINUE,False,False,True,False,831,33,33,0.2147651006711409,0.2916666666666667,0.8846726190476191,14
requests,1,random,6,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,random,7,CONTINUE,False,False,True,False,1086,30,30,0.2046979865771812,0.2916666666666667,0.8846726190476191,14
requests,1,random,8,ABSTAIN,False,False,False,True,831,0,0,0.1040268456375839,0.25,0.888392857142857,15
requests,1,random,9,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,random,10,CONTINUE,False,False,True,False,831,9,9,0.1342281879194631,0.2916666666666667,0.8846726190476191,14
requests,1,random,11,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,random,12,CONTINUE,False,False,True,False,1039,42,42,0.2449664429530201,0.2916666666666667,0.8846726190476191,14
requests,1,random,13,ABSTAIN,False,False,False,True,1086,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,14,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,random,15,CONTINUE,False,False,True,False,1086,30,30,0.2046979865771812,0.2916666666666667,0.8846726190476191,14
requests,1,random,16,CONTINUE,False,False,True,False,1039,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,17,ABSTAIN,False,False,False,True,831,0,0,0.1040268456375839,0.25,0.888392857142857,15
requests,1,random,18,ABSTAIN,False,False,False,True,1086,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,19,CONTINUE,False,False,True,False,1039,42,42,0.2449664429530201,0.2916666666666667,0.8846726190476191,14
requests,1,random,20,ABSTAIN,False,False,False,True,1086,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,21,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,22,CONTINUE,False,False,True,False,831,9,9,0.1342281879194631,0.2916666666666667,0.8846726190476191,14
requests,1,random,23,CONTINUE,False,False,True,False,696,64,64,0.3187919463087248,0.2916666666666667,0.8846726190476191,14
requests,1,random,24,ABSTAIN,False,False,False,True,314,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,25,CONTINUE,False,False,True,False,1039,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,26,CONTINUE,False,False,True,False,1086,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,27,CONTINUE,False,False,True,False,696,64,64,0.3187919463087248,0.2916666666666667,0.8846726190476191,14
requests,1,random,28,CONTINUE,False,False,True,False,1039,20,20,0.1711409395973154,0.2916666666666667,0.8846726190476191,14
requests,1,random,29,CONTINUE,False,False,True,False,1086,30,30,0.2046979865771812,0.2916666666666667,0.8846726190476191,14
requests,1,random,30,CONTINUE,False,False,True,False,696,38,38,0.2315436241610738,0.2916666666666667,0.8846726190476191,14
requests,1,random,31,ABSTAIN,False,False,False,True,1039,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,32,ABSTAIN,False,False,False,True,1086,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,33,ABSTAIN,False,False,False,True,1086,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,34,ABSTAIN,False,False,False,True,696,0,0,0.1040268456375839,0.25,0.8891369047619047,15
requests,1,random,35,CONTINUE,False,False,True,False,696,38,38,0.2315436241610738,0.2916666666666667,0.8846726190476191,14
