task,condition,state_type,source,n,oracle_safe_n,oracle_unsafe_n,safe,continue,abstain,false_certification_rate,safe_coverage,continue_rate,abstention_rate,mean_repair_gain,mean_cost
requests,homogeneous,fixed_stop_state,unified_runtime_posthoc,1,0,1,0,1,0,0.0,,1.0,0.0,0.0,0.0
requests,route_partitioned,fixed_stop_state,unified_runtime_posthoc,1,1,0,1,0,0,,1.0,0.0,0.0,0.0,0.0
urllib3,extended_audit,fixed_stop_state,unified_runtime_posthoc,1,1,0,1,0,0,,1.0,0.0,0.0,0.0,0.0
urllib3,homogeneous,fixed_stop_state,unified_runtime_posthoc,1,0,1,0,1,0,0.0,,1.0,0.0,0.0,0.0
urllib3,route_partitioned,fixed_stop_state,unified_runtime_posthoc,1,0,1,0,1,0,0.0,,1.0,0.0,0.0,0.0
external_repos,all_fixed_stop_states,fixed_stop_state,unified_runtime_posthoc,5,2,3,2,3,0,0.0,1.0,0.6,0.0,0.0,0.0
requests,repair:free_search_continuation,seeded_unsafe_repair,seeded_repair_validation,200,0,200,0,200,0,0.0,,1.0,0.0,126.415,3376.475
requests,repair:high_potential,seeded_unsafe_repair,seeded_repair_validation,200,0,200,0,200,0,0.0,,1.0,0.0,177.0,3262.0
requests,repair:low_discovery,seeded_unsafe_repair,seeded_repair_validation,200,0,200,0,200,0,0.0,,1.0,0.0,106.0,2245.0
requests,repair:low_exposure,seeded_unsafe_repair,seeded_repair_validation,200,0,200,0,200,0,0.0,,1.0,0.0,106.0,2245.0
requests,repair:random,seeded_unsafe_repair,seeded_repair_validation,200,0,200,0,199,1,0.0,,0.995,0.005,45.535,2737.025
requests,repair:residual_potential,seeded_unsafe_repair,seeded_repair_validation,200,0,200,0,200,0,0.0,,1.0,0.0,177.0,3262.0
urllib3,repair:free_search_continuation,seeded_unsafe_repair,seeded_repair_validation,200,0,200,0,200,0,0.0,,1.0,0.0,171.41,4708.88
urllib3,repair:high_potential,seeded_unsafe_repair,seeded_repair_validation,200,0,200,0,200,0,0.0,,1.0,0.0,275.0,4386.0
urllib3,repair:low_exposure,seeded_unsafe_repair,seeded_repair_validation,200,0,200,0,200,0,0.0,,1.0,0.0,157.0,5550.0
urllib3,repair:random,seeded_unsafe_repair,seeded_repair_validation,200,0,200,0,198,2,0.0,,0.99,0.01,92.525,4225.245
urllib3,repair:residual_potential,seeded_unsafe_repair,seeded_repair_validation,200,0,200,0,200,0,0.0,,1.0,0.0,329.0,5289.0
external_repos,all_seeded_unsafe_repairs,seeded_unsafe_repair,seeded_repair_validation,2200,0,2200,0,2197,3,0.0,,0.9986363636363637,0.0013636363636363637,160.26227272727272,3753.3295454545455
requests,safe_state:free_search_continuation,seeded_safe_complete,seeded_safe_state_validation,600,600,0,600,0,0,,1.0,0.0,0.0,0.0,3156.26
requests,safe_state:high_potential,seeded_safe_complete,seeded_safe_state_validation,600,600,0,600,0,0,,1.0,0.0,0.0,0.0,3857.0
requests,safe_state:low_exposure,seeded_safe_complete,seeded_safe_state_validation,600,600,0,600,0,0,,1.0,0.0,0.0,0.0,2048.375
requests,safe_state:random,seeded_safe_complete,seeded_safe_state_validation,600,600,0,600,0,0,,1.0,0.0,0.0,0.0,3156.26
requests,safe_state:residual_potential,seeded_safe_complete,seeded_safe_state_validation,600,600,0,600,0,0,,1.0,0.0,0.0,0.0,4044.75
urllib3,safe_state:free_search_continuation,seeded_safe_complete,seeded_safe_state_validation,600,600,0,600,0,0,,1.0,0.0,0.0,0.0,3793.4966666666664
urllib3,safe_state:high_potential,seeded_safe_complete,seeded_safe_state_validation,600,600,0,600,0,0,,1.0,0.0,0.0,0.0,3985.0
urllib3,safe_state:low_exposure,seeded_safe_complete,seeded_safe_state_validation,600,600,0,600,0,0,,1.0,0.0,0.0,0.0,2780.0
urllib3,safe_state:random,seeded_safe_complete,seeded_safe_state_validation,600,600,0,600,0,0,,1.0,0.0,0.0,0.0,3793.4966666666664
urllib3,safe_state:residual_potential,seeded_safe_complete,seeded_safe_state_validation,600,600,0,600,0,0,,1.0,0.0,0.0,0.0,5316.75
external_repos,all_seeded_safe_complete,seeded_safe_complete,seeded_safe_state_validation,6000,6000,0,6000,0,0,,1.0,0.0,0.0,0.0,3593.1388333333334
