task,challenger,min_fcr,max_continue_rate,max_abstain_rate,max_repair_gain,min_cost,max_cost
requests,free_search_continuation,0.0,1.0,0.095,207.165,861.69,6605.185
requests,high_potential,0.0,1.0,0.0,236.0,696.0,6914.0
requests,low_discovery,0.0,1.0,0.0,116.0,696.0,3187.0
requests,low_exposure,0.0,1.0,0.0,116.0,696.0,3187.0
requests,random,0.0,1.0,0.365,89.345,730.93,5564.3
requests,residual_potential,0.0,1.0,0.0,244.0,696.0,7304.0
urllib3,free_search_continuation,0.0,1.0,0.275,259.325,898.11,7420.905
urllib3,high_potential,0.0,1.0,0.0,374.0,533.0,8049.0
urllib3,low_exposure,0.0,1.0,0.0,288.0,1093.0,9084.0
urllib3,random,0.0,1.0,0.36,152.825,811.345,6665.61
urllib3,residual_potential,0.0,1.0,0.0,436.0,533.0,8867.0
