task,granularity,repair_policy,mean_new_true_items
code_repo_v1,source_only,random,13.0
code_repo_v1,source_route,random,4.315
code_repo_v1,source_route_action,random,4.315
policy_docset_v1,source_only,random,7.0
policy_docset_v1,source_route,random,2.025
policy_docset_v1,source_route_action,random,2.025
code_repo_v1,source_only,high_potential,13.0
code_repo_v1,source_route,high_potential,5.0
code_repo_v1,source_route_action,high_potential,5.0
policy_docset_v1,source_only,high_potential,7.0
policy_docset_v1,source_route,high_potential,0.0
policy_docset_v1,source_route_action,high_potential,0.0
code_repo_v1,source_only,residual_potential,13.0
code_repo_v1,source_route,residual_potential,9.0
code_repo_v1,source_route_action,residual_potential,9.0
policy_docset_v1,source_only,residual_potential,7.0
policy_docset_v1,source_route,residual_potential,4.0
policy_docset_v1,source_route_action,residual_potential,4.0
