repository,condition,union_recall,union_recall,union_recall,source_normalized_effective_rank,source_normalized_effective_rank,source_normalized_effective_rank,source_logdet_volume,source_logdet_volume,source_logdet_volume,source_marginal_logdet_gain,source_marginal_logdet_gain,source_marginal_logdet_gain,source_concentration_hhi,source_concentration_hhi,source_concentration_hhi,mean_pairwise_source_jaccard,mean_pairwise_source_jaccard,mean_pairwise_source_jaccard,singleton_ratio_from_score,singleton_ratio_from_score,singleton_ratio_from_score
,,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
click,homogeneous,3,0.7606263982102908,0.003874834021406831,3,0.43236338426365345,0.0445515269353185,3,16.02752857235997,2.08539703532783,3,3.499641101441957,1.023871681495561,3,0.25322303588839645,0.00741088320377879,3,1.0,0.0,3,0.09554703099132562,0.04618214403178302
click,independent_context,3,0.7293064876957495,0.021574162776270594,3,0.8642247123410689,0.02102132458495025,3,24.108980609771795,0.5989206482348555,3,7.726086712616848,0.14822268651156034,3,0.26129631755170024,0.019404232505826312,3,0.3333333333333333,0.0,3,0.34080226961665927,0.04238559664147227
click,source_partitioned,3,0.7449664429530202,0.024198330707812032,3,0.9409618588805357,0.03002589958687302,3,23.186662192020393,0.46645363756528513,3,7.290068170105324,0.27280215873526886,3,0.24927686312746544,0.019711087976535348,3,0.0,0.0,3,1.0,0.0
itsdangerous,homogeneous,3,0.8875000000000001,0.006250000000000019,3,0.3795635200827281,0.011147292825801462,3,13.964155628530472,1.0191501944869057,3,2.22485614504639,0.4658136456970437,3,0.3984740940305492,0.006981346397175315,3,1.0,0.0,3,0.09286919257963529,0.014739397106560945
itsdangerous,independent_context,3,0.8770833333333333,0.009547032697824639,3,0.7789730978025075,0.003952533344081443,3,24.39653058148781,0.28841496568173947,3,7.436539603242264,0.09669081945883187,3,0.39701371690417653,0.004108962725855407,3,0.3333333333333333,0.0,3,0.14822498664639758,0.048017543335808745
itsdangerous,source_partitioned,3,0.8604166666666666,0.020090939085401938,3,0.8466646058352026,0.007775486031990561,3,23.074739633143338,0.2083273083623834,3,6.953783589607641,0.045428078181771636,3,0.38064723230918324,0.00728602967170797,3,0.0,0.0,3,1.0,0.0
requests,homogeneous,5,0.7322368421052632,0.007206875756646926,5,0.4122254652736741,0.030902426351002692,5,18.034631514370545,2.5959007366276494,5,3.90043715268691,1.2812758637301433,5,0.3568111549923097,0.006175807106949732,5,0.95,0.07453559924999299,5,0.1402593163307684,0.014657459133196863
requests,independent_context,5,0.7322368421052632,0.014451238576637378,5,0.7879908537250251,0.013008406788929061,5,26.535638136014235,0.07551445101025489,5,8.235872011449288,0.060572265893008764,5,0.34204003874201133,0.01170556600894434,5,0.3333333333333333,0.0,5,0.20239043331130588,0.011961933531773428
requests,prompt_diverse,5,0.7243421052631579,0.011951251397753248,5,0.4201559062811574,0.03188490003938338,5,18.522268270311834,1.9850670827736476,5,4.184095290966611,0.9666387332954965,5,0.3465271455021429,0.005449150544810114,5,0.9,0.09128709291752767,5,0.15763040638044618,0.022264088667893492
requests,source_partitioned,5,0.7236842105263157,0.011630045743199799,5,0.8231831384867062,0.01275415005828025,5,25.60626581528905,0.2333068495273449,5,7.69336947227832,0.08819880911384052,5,0.3583386738992532,0.01098784431258788,5,0.0,0.0,5,1.0,0.0
