seed,condition,dependency,n_strata,items_per_stratum,hard_fraction,stopped_round,total_items,found_items,recall,false_completion,source_coverage_ratio,coverage_entropy,coverage_hhi,coverage_gini,visit_entropy,visit_hhi,source_normalized_effective_rank,source_logdet_volume,pairwise_route_jaccard,pairwise_cosine,scout_new_items,scout_new_true_items,scout_cost,scout_novelty_per_cost,singular_values
0,homogeneous,0.0,18,8,0.25,14,144,121,0.8402777777777778,True,0.9444444444444444,2.733085734923027,0.06749703960352617,0.23252391464311994,2.7231147192533647,0.06839923469387754,0.6327734997809168,14.51723542102555,0.9215686274509803,0.9478166947641591,0,0,0,,45.301;7.5086;4.1755
1,homogeneous,0.0,18,8,0.25,12,144,110,0.7638888888888888,True,0.8333333333333334,2.6371999920870732,0.07301243915630069,0.28380706287683033,2.6298713942733007,0.07392939814814814,0.6997931307043181,15.071465044248114,0.9555555555555556,0.9162710798966457,0,0,0,,40.26;7.5749;6.1444
2,homogeneous,0.0,18,8,0.25,14,144,124,0.8611111111111112,True,1.0,2.7500057809056973,0.06712466981827252,0.23849607182940513,2.7299224286532384,0.06916099773242632,0.6384149541543633,14.573970709412997,0.8865740740740741,0.9506470029272784,0,0,0,,44.457;6.2196;5.2844
3,homogeneous,0.0,18,8,0.25,14,144,118,0.8194444444444444,True,0.9444444444444444,2.6924568607500836,0.07033333333333334,0.2644444444444445,2.6802713676407346,0.07158801020408165,0.6368762422267601,14.717145275861402,0.8811274509803922,0.9496430260210325,0,0,0,,45.939;7.1095;4.8059
4,homogeneous,0.0,18,8,0.25,14,144,123,0.8541666666666666,True,1.0,2.7484035818444696,0.06717108612152344,0.2403628117913832,2.723859008461563,0.0700999149659864,0.6708072819722178,15.078351765087566,0.886710239651416,0.9303738639229283,0,0,0,,44.006;8.1076;5.2702
5,homogeneous,0.0,18,8,0.25,14,144,120,0.8333333333333334,True,0.9444444444444444,2.733603210612821,0.06769150540194312,0.2414889637111859,2.7137296015616728,0.06981646825396826,0.613938478363545,14.098310063435617,0.9607843137254902,0.9589210222147031,0,0,0,,44.626;6.1572;4.1921
6,homogeneous,0.0,18,8,0.25,14,144,123,0.8541666666666666,True,0.9444444444444444,2.7357955798543117,0.06755555555555555,0.2407407407407407,2.712355726890506,0.07048965419501134,0.602244905987671,13.836522370584461,0.9607843137254902,0.9588183224511826,0,0,0,,45.028;6.7365;3.3316
7,homogeneous,0.0,18,8,0.25,14,144,116,0.8055555555555556,True,0.8888888888888888,2.680306742302162,0.07016983199415633,0.24849849849849837,2.666732031007933,0.07176516439909297,0.6351802409070366,14.60334506257644,0.9166666666666666,0.9501776461670358,0,0,0,,45.28;6.8408;4.787
8,homogeneous,0.0,18,8,0.25,14,144,116,0.8055555555555556,True,0.9444444444444444,2.690564168666197,0.06999437042597109,0.2553272450532724,2.678746566070243,0.07116284013605442,0.6404474150818681,14.630735156742766,0.8774509803921569,0.9501123446962669,0,0,0,,44.604;6.3545;5.3036
9,homogeneous,0.0,18,8,0.25,14,144,119,0.8263888888888888,True,1.0,2.7152670012566613,0.06884661117717004,0.24061302681992336,2.696567422009951,0.07079081632653061,0.6726111063271426,15.128604504643445,0.8481481481481482,0.933765257990781,0,0,0,,43.948;7.1027;6.177
10,homogeneous,0.0,18,8,0.25,14,144,119,0.8263888888888888,True,1.0,2.728776080183727,0.06846684251932066,0.24489795918367352,2.7176594750022587,0.06926729024943311,0.6601455529400717,14.941258707077978,0.8496732026143792,0.9370098839042605,0,0,0,,44.422;7.8222;5.0528
11,homogeneous,0.0,18,8,0.25,14,144,121,0.8402777777777778,True,0.9444444444444444,2.7230560424934396,0.0680542801754923,0.23176206509539843,2.7041674752257943,0.0702062074829932,0.6707033505497638,15.18785207697201,0.8786764705882352,0.9316821508629111,0,0,0,,44.753;7.9238;5.6007
12,homogeneous,0.0,18,8,0.25,14,144,120,0.8333333333333334,True,0.9444444444444444,2.722045055179081,0.0684397283723883,0.2478488589599701,2.705803538776314,0.07008219954648526,0.64838311986691,14.787194807896446,0.8823529411764706,0.9424616257162196,0,0,0,,44.876;7.4538;4.8597
13,homogeneous,0.0,18,8,0.25,14,144,121,0.8402777777777778,True,1.0,2.7466360033145585,0.06739092797783933,0.23684210526315796,2.7305440332782425,0.0690547052154195,0.5995494782676914,13.858906308948573,0.851851851851852,0.9606341411493927,0,0,0,,45.567;6.6559;3.3695
14,homogeneous,0.0,18,8,0.25,14,144,122,0.8472222222222222,True,1.0,2.74347428682733,0.06739298218140737,0.23206986250464512,2.730141498751669,0.06866496598639456,0.6345376029605864,14.553792243585784,0.851851851851852,0.9532445958390091,0,0,0,,44.815;5.8126;5.553
15,homogeneous,0.0,18,8,0.25,14,144,117,0.8125,True,0.8888888888888888,2.686212442848607,0.07002314814814815,0.2554012345679013,2.6688398789738956,0.07213718820861678,0.6681661668630453,15.030784417751459,0.9166666666666666,0.9324214735191206,0,0,0,,44.007;8.0209;5.2018
16,homogeneous,0.0,18,8,0.25,14,144,114,0.7916666666666666,True,0.8888888888888888,2.670889159114363,0.07064997072203955,0.2524235645041013,2.661745595748014,0.07165887188208617,0.5812516161926304,13.552878872929593,0.9152777777777779,0.970109062514906,0,0,0,,45.736;5.466;3.5078
17,homogeneous,0.0,18,8,0.25,14,144,116,0.8055555555555556,True,0.8888888888888888,2.6731091724355194,0.07091113151719212,0.2684249906472129,2.6609620287934055,0.0724029195011338,0.6194046570001831,14.254723191332019,0.9166666666666666,0.948947889518807,0,0,0,,45.69;7.6661;3.5561
18,homogeneous,0.0,18,8,0.25,14,144,120,0.8333333333333334,True,1.0,2.732346028552278,0.06873696839800114,0.25957527493363663,2.713208053716162,0.07061366213151928,0.6630319193767976,14.99062704699006,0.851851851851852,0.9365451229602572,0,0,0,,44.356;7.7615;5.2273
19,homogeneous,0.0,18,8,0.25,14,144,117,0.8125,True,0.8888888888888888,2.6844410924105557,0.06980752657282391,0.24463276836158188,2.676842002956618,0.07056051587301587,0.6678707679364555,15.178919838479924,0.9583333333333334,0.9349922152122562,0,0,0,,45.01;7.5949;5.7841
20,homogeneous,0.0,18,8,0.25,14,144,119,0.8263888888888888,True,0.9444444444444444,2.7006864273489204,0.07017835909631392,0.271647509578544,2.684144313713501,0.07196003401360544,0.6481085857208765,14.738285082795429,0.8799019607843137,0.9464185224284735,0,0,0,,44.37;6.6904;5.3437
21,homogeneous,0.0,18,8,0.25,14,144,120,0.8333333333333334,True,1.0,2.723547047084731,0.06841081433680066,0.24288964732650742,2.704079717453635,0.07063137755102042,0.6729813889176829,15.175637565842575,0.8845315904139434,0.93317724485454,0,0,0,,44.271;7.3992;6.0262
22,homogeneous,0.0,18,8,0.25,14,144,118,0.8194444444444444,True,1.0,2.724553474234772,0.06859352737634845,0.25048058439061904,2.6971590169830586,0.0717828798185941,0.6578301122472394,14.813630887931263,0.8464052287581699,0.9394087155508343,0,0,0,,43.713;7.3325;5.139
23,homogeneous,0.0,18,8,0.25,14,144,114,0.7916666666666666,True,0.8888888888888888,2.6640677355294873,0.07160246479283394,0.27701934015927177,2.6448548100300244,0.07406816893424036,0.6416139409386207,14.737267184016309,0.9152777777777779,0.9492667204166206,0,0,0,,45.267;6.6394;5.2753
