scope,repository,metric,n,spearman_with_recall,p_value
global,all,mean_pairwise_item_jaccard_from_score,38,0.1941745460149094,0.2427477651097229
within_repo,click,mean_pairwise_item_jaccard_from_score,9,0.324798188476895,0.3937689478092581
within_repo,itsdangerous,mean_pairwise_item_jaccard_from_score,9,0.6609502933682427,0.052592334745329115
within_repo,requests,mean_pairwise_item_jaccard_from_score,20,0.07194821071631526,0.7630829528428389
global,all,mean_pairwise_source_jaccard,38,0.0955340580976784,0.5683071515018181
within_repo,click,mean_pairwise_source_jaccard,9,0.31889640207164033,0.4029160441753464
within_repo,itsdangerous,mean_pairwise_source_jaccard,9,0.7739527433912543,0.014378911578919762
within_repo,requests,mean_pairwise_source_jaccard,20,0.06087474041334797,0.7987642268312787
global,all,source_coverage_count,38,-0.5152688154265824,0.0009313958354942791
within_repo,click,source_coverage_count,9,,
within_repo,itsdangerous,source_coverage_count,9,,
within_repo,requests,source_coverage_count,20,,
global,all,file_coverage_count,38,-0.5149879195443802,0.0009384576667530601
within_repo,click,file_coverage_count,9,,
within_repo,itsdangerous,file_coverage_count,9,,
within_repo,requests,file_coverage_count,20,-0.10048957188404326,0.6733636765502369
global,all,singleton_ratio_from_score,38,-0.23855729938974585,0.14920058543687004
within_repo,click,singleton_ratio_from_score,9,-0.2906089054793271,0.44807440225984696
within_repo,itsdangerous,singleton_ratio_from_score,9,-0.6008639030620389,0.08704730283768652
within_repo,requests,singleton_ratio_from_score,20,-0.047455202812888786,0.8425191324566514
global,all,source_pairwise_cosine,38,0.07778077528940085,0.6425328705322582
within_repo,click,source_pairwise_cosine,9,0.2735142639805432,0.4763791325374396
within_repo,itsdangerous,source_pairwise_cosine,9,0.8583770043743413,0.0030559194329367293
within_repo,requests,source_pairwise_cosine,20,-0.06352873924951241,0.7901745311302191
global,all,source_normalized_effective_rank,38,-0.09985765658787407,0.5508446003472706
within_repo,click,source_normalized_effective_rank,9,-0.22689876784032484,0.5571400528860272
within_repo,itsdangerous,source_normalized_effective_rank,9,-0.8945864409239054,0.0011279900051231744
within_repo,requests,source_normalized_effective_rank,20,-0.03798148808007527,0.8736862385858781
global,all,file_entropy_effective_rank,38,-0.16431023844700687,0.32424991436013406
within_repo,click,file_entropy_effective_rank,9,-0.17647681943136376,0.6496847436328109
within_repo,itsdangerous,file_entropy_effective_rank,9,-0.8692679567468138,0.002335307625484418
within_repo,requests,file_entropy_effective_rank,20,-0.0037981488080075275,0.9873204801800828
global,all,source_logdet_volume,38,-0.23566845407676099,0.15433615227234862
within_repo,click,source_logdet_volume,9,-0.4117792453398488,0.27080524598002204
within_repo,itsdangerous,source_logdet_volume,9,-0.4641722099133472,0.20814657134011436
within_repo,requests,source_logdet_volume,20,0.16332039874432366,0.4914506107363249
global,all,source_marginal_logdet_gain,38,-0.2514527598381813,0.1277921985192927
within_repo,click,source_marginal_logdet_gain,9,-0.5378341163622515,0.1352889099215897
within_repo,itsdangerous,source_marginal_logdet_gain,9,-0.4641722099133472,0.20814657134011436
within_repo,requests,source_marginal_logdet_gain,20,0.15572410112830862,0.5120844999076426
global,all,source_concentration_entropy,38,-0.4219013394146293,0.008331246354890576
within_repo,click,source_concentration_entropy,9,0.3613572969308877,0.33932102451159385
within_repo,itsdangerous,source_concentration_entropy,9,-0.8101914936669331,0.00810319543738764
within_repo,requests,source_concentration_entropy,20,-0.24080263442767721,0.30644454505727187
global,all,source_concentration_hhi,38,0.42387437763480684,0.008001975179041465
within_repo,click,source_concentration_hhi,9,-0.3193390065900868,0.40222670190697013
within_repo,itsdangerous,source_concentration_hhi,9,0.7511150305870526,0.019655916238519245
within_repo,requests,source_concentration_hhi,20,0.24080263442767721,0.30644454505727187
global,all,source_concentration_gini,38,0.41225537478265034,0.010113164419380026
within_repo,click,source_concentration_gini,9,-0.2016877936358443,0.6027992537712049
within_repo,itsdangerous,source_concentration_gini,9,0.7511150305870526,0.019655916238519245
within_repo,requests,source_concentration_gini,20,0.15572410112830862,0.5120844999076426
global,all,mean_confidence,38,0.4283681857283253,0.007293401938138765
within_repo,click,mean_confidence,9,-0.29412803238560625,0.4423405305368654
within_repo,itsdangerous,mean_confidence,9,0.4557327151876499,0.2176366916014445
within_repo,requests,mean_confidence,20,-0.2304278455089927,0.3283767941580138
