feature_set,scope,heldout_n_strata,n,auroc
coverage_gini,global_in_sample,none,2160,0.9951238591228618
coverage_gini,leave_world_out,18,720,0.9935527162923131
coverage_gini,leave_world_out,30,720,0.9984113300492611
coverage_gini,leave_world_out,42,720,0.9967187500000001
coverage_ratio,global_in_sample,none,2160,0.8304444523591867
coverage_ratio,leave_world_out,18,720,0.6593186372745491
coverage_ratio,leave_world_out,30,720,0.8801354679802956
coverage_ratio,leave_world_out,42,720,0.91875
effective_rank,global_in_sample,none,2160,0.8973180895394808
effective_rank,leave_world_out,18,720,0.9652971100572184
effective_rank,leave_world_out,30,720,0.9877709359605911
effective_rank,leave_world_out,42,720,0.9802148437500001
stopped_round,global_in_sample,none,2160,0.5028196269781909
stopped_round,leave_world_out,18,720,0.4942146736912739
stopped_round,leave_world_out,30,720,0.4991379310344828
stopped_round,leave_world_out,42,720,0.5
gini_plus_coverage,global_in_sample,none,2160,0.9952320272689259
gini_plus_coverage,leave_world_out,18,720,0.99369780284551
gini_plus_coverage,leave_world_out,30,720,0.9983620689655173
gini_plus_coverage,leave_world_out,42,720,0.9968359375
gini_plus_erank,global_in_sample,none,2160,0.9956059988470858
gini_plus_erank,leave_world_out,18,720,0.9927003327922814
gini_plus_erank,leave_world_out,30,720,0.9983990147783252
gini_plus_erank,leave_world_out,42,720,0.996875
coverage_plus_erank,global_in_sample,none,2160,0.9572471998300969
coverage_plus_erank,leave_world_out,18,720,0.9742652726267013
coverage_plus_erank,leave_world_out,30,720,0.9883374384236453
coverage_plus_erank,leave_world_out,42,720,0.9826757812499999
minimal_three,global_in_sample,none,2160,0.9956191900844107
minimal_three,leave_world_out,18,720,0.9925461783295098
minimal_three,leave_world_out,30,720,0.9983251231527094
minimal_three,leave_world_out,42,720,0.99693359375
