family,method,n,mean_recall,min_recall,max_recall,mean_precision,false_stop_count,completion_count
T3 Click,evidence_preserving_protocol,3,0.8769574944071589,0.8053691275167785,0.9932885906040269,0.8403146778377387,2,3
T3 Click,majority_consensus,3,0.8299776286353467,0.7583892617449665,0.9530201342281879,0.9074505741172408,0,0
T3 Click,raw_union,3,0.9977628635346756,0.9932885906040269,1.0,0.6751483169386472,0,0
T3 Click,standard_summarizer_blind,3,0.70917225950783,0.6845637583892618,0.7449664429530202,0.9968253968253968,3,3
T3 Click,union_preserving_blind,3,0.9977628635346756,0.9932885906040269,1.0,0.6751483169386472,0,3
T4 Requests,evidence_preserving_protocol,3,0.7763157894736842,0.75,0.7993421052631579,0.7123803252497012,3,3
T4 Requests,majority_consensus,3,0.6853070175438597,0.6776315789473685,0.7006578947368421,0.7236833575645076,2,2
T4 Requests,raw_union,3,0.8442982456140351,0.8289473684210527,0.8585526315789473,0.6679650594538435,2,2
T4 Requests,standard_summarizer_blind,3,0.5460526315789473,0.3684210526315789,0.6480263157894737,0.774656561297515,3,3
T4 Requests,union_preserving_blind,3,0.6589912280701755,0.3026315789473684,0.8453947368421053,0.6782883359996383,3,3
