case_id,family,consensus_recall,full_recall,full_precision,full_false_stop,audit_actions_proxy,recovered_tp_over_consensus,actions_per_recovered_tp
T1_hard_seed01,T1 synthetic code,0.6285714285714286,1.0,1.0,False,14,13,1.0769230769230769
T1_hard_seed02,T1 synthetic code,1.0,1.0,1.0,False,4,0,
T1_hard_seed03,T1 synthetic code,1.0,1.0,1.0,False,5,0,
T2_policy_docs_seed01,T2 policy docs,0.9333333333333333,1.0,1.0,False,3,2,1.5
T2_policy_docs_seed02,T2 policy docs,0.9333333333333333,1.0,1.0,False,1,2,0.5
T2_policy_docs_seed03,T2 policy docs,0.9333333333333333,1.0,1.0,False,1,2,0.5
T4_real_repo_click_seed01_blind,T3 Click,0.9530201342281879,0.9932885906040269,0.9548387096774194,False,57,6,9.5
T4_real_repo_click_seed02_blind,T3 Click,0.7583892617449665,0.8053691275167785,0.8053691275167785,True,99,7,14.142857142857142
T4_real_repo_click_seed03_blind,T3 Click,0.7785234899328859,0.8322147651006712,0.7607361963190185,True,103,8,12.875
T5_real_repo_requests_tls_seed01_blind,T4 Requests,0.7006578947368421,0.7993421052631579,0.7063953488372093,True,98,30,3.2666666666666666
T5_real_repo_requests_tls_seed02_blind,T4 Requests,0.6776315789473685,0.75,0.7147335423197492,True,98,22,4.454545454545454
T5_real_repo_requests_tls_seed03_blind,T4 Requests,0.6776315789473685,0.7796052631578947,0.716012084592145,True,96,31,3.096774193548387
