experiment,model,train_groups,calibration_groups,test_groups,features,n_train,n_calibration,n_test,unsafe_rate_test,auroc,auprc,brier,threshold,certified,false_certifications,false_certification_rate,fcr_upper,safe_coverage,abstention
feature_ablation:all_allowed,regularized_logistic,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2;requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2,local_policy_docs/synthetic_policy_docs/s3;click/real_repo_click_deprecation/s3;requests/real_repo_requests_tls/s3,local_policy_docs/synthetic_policy_docs/s4;local_policy_docs/synthetic_policy_docs/s5;click/real_repo_click_deprecation/s4;click/real_repo_click_deprecation/s5;requests/real_repo_requests_tls/s4;requests/real_repo_requests_tls/s5,"nominal_agent_count,mean_confidence,output_jaccard,source_overlap,source_coverage,query_similarity,search_path_overlap,marginal_discovery_gain_last,marginal_discovery_gain_mean,novelty_decay,singletons_f1,doubletons_f2,singleton_ratio,doubleton_ratio,per_source_singleton_density,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio,effective_exploration_size",936,468,936,0.811965811965812,0.9028895035885167,0.9778699322263086,0.10351691477679956,,0,0,,,0.0,1.0
feature_ablation:all_allowed,gradient_boosting,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2;requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2,local_policy_docs/synthetic_policy_docs/s3;click/real_repo_click_deprecation/s3;requests/real_repo_requests_tls/s3,local_policy_docs/synthetic_policy_docs/s4;local_policy_docs/synthetic_policy_docs/s5;click/real_repo_click_deprecation/s4;click/real_repo_click_deprecation/s5;requests/real_repo_requests_tls/s4;requests/real_repo_requests_tls/s5,"nominal_agent_count,mean_confidence,output_jaccard,source_overlap,source_coverage,query_similarity,search_path_overlap,marginal_discovery_gain_last,marginal_discovery_gain_mean,novelty_decay,singletons_f1,doubletons_f2,singleton_ratio,doubleton_ratio,per_source_singleton_density,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio,effective_exploration_size",936,468,936,0.811965811965812,0.9993607954545455,0.999811928588875,0.017972675301324202,0.3786186165725858,173,3,0.017341040462427744,0.0442063876994318,0.9659090909090909,0.8151709401709402
feature_ablation:portable_only,regularized_logistic,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2;requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2,local_policy_docs/synthetic_policy_docs/s3;click/real_repo_click_deprecation/s3;requests/real_repo_requests_tls/s3,local_policy_docs/synthetic_policy_docs/s4;local_policy_docs/synthetic_policy_docs/s5;click/real_repo_click_deprecation/s4;click/real_repo_click_deprecation/s5;requests/real_repo_requests_tls/s4;requests/real_repo_requests_tls/s5,"mean_confidence,output_jaccard,source_overlap,source_coverage,query_similarity,search_path_overlap,novelty_decay,singleton_ratio,doubleton_ratio,per_source_singleton_density,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio,effective_exploration_size",936,468,936,0.811965811965812,0.8593338815789473,0.960141434332744,0.11668316362130089,,0,0,,,0.0,1.0
feature_ablation:portable_only,gradient_boosting,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2;requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2,local_policy_docs/synthetic_policy_docs/s3;click/real_repo_click_deprecation/s3;requests/real_repo_requests_tls/s3,local_policy_docs/synthetic_policy_docs/s4;local_policy_docs/synthetic_policy_docs/s5;click/real_repo_click_deprecation/s4;click/real_repo_click_deprecation/s5;requests/real_repo_requests_tls/s4;requests/real_repo_requests_tls/s5,"mean_confidence,output_jaccard,source_overlap,source_coverage,query_similarity,search_path_overlap,novelty_decay,singleton_ratio,doubleton_ratio,per_source_singleton_density,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio,effective_exploration_size",936,468,936,0.811965811965812,0.9969310705741626,0.9992510637729787,0.025953022049784908,0.34340352786883527,169,3,0.01775147928994083,0.04523793606950428,0.9431818181818182,0.8194444444444444
feature_ablation:no_confidence,regularized_logistic,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2;requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2,local_policy_docs/synthetic_policy_docs/s3;click/real_repo_click_deprecation/s3;requests/real_repo_requests_tls/s3,local_policy_docs/synthetic_policy_docs/s4;local_policy_docs/synthetic_policy_docs/s5;click/real_repo_click_deprecation/s4;click/real_repo_click_deprecation/s5;requests/real_repo_requests_tls/s4;requests/real_repo_requests_tls/s5,"nominal_agent_count,output_jaccard,source_overlap,source_coverage,query_similarity,search_path_overlap,marginal_discovery_gain_last,marginal_discovery_gain_mean,novelty_decay,singletons_f1,doubletons_f2,singleton_ratio,doubleton_ratio,per_source_singleton_density,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio,effective_exploration_size",936,468,936,0.811965811965812,0.8862701854066987,0.9754991754096085,0.10582787196605971,,0,0,,,0.0,1.0
feature_ablation:no_confidence,gradient_boosting,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2;requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2,local_policy_docs/synthetic_policy_docs/s3;click/real_repo_click_deprecation/s3;requests/real_repo_requests_tls/s3,local_policy_docs/synthetic_policy_docs/s4;local_policy_docs/synthetic_policy_docs/s5;click/real_repo_click_deprecation/s4;click/real_repo_click_deprecation/s5;requests/real_repo_requests_tls/s4;requests/real_repo_requests_tls/s5,"nominal_agent_count,output_jaccard,source_overlap,source_coverage,query_similarity,search_path_overlap,marginal_discovery_gain_last,marginal_discovery_gain_mean,novelty_decay,singletons_f1,doubletons_f2,singleton_ratio,doubleton_ratio,per_source_singleton_density,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio,effective_exploration_size",936,468,936,0.811965811965812,0.9993607954545455,0.999811928588875,0.0180118161756299,0.3786186165725858,173,3,0.017341040462427744,0.0442063876994318,0.9659090909090909,0.8151709401709402
feature_ablation:no_overlap_or_correlation,regularized_logistic,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2;requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2,local_policy_docs/synthetic_policy_docs/s3;click/real_repo_click_deprecation/s3;requests/real_repo_requests_tls/s3,local_policy_docs/synthetic_policy_docs/s4;local_policy_docs/synthetic_policy_docs/s5;click/real_repo_click_deprecation/s4;click/real_repo_click_deprecation/s5;requests/real_repo_requests_tls/s4;requests/real_repo_requests_tls/s5,"nominal_agent_count,mean_confidence,source_coverage,marginal_discovery_gain_last,marginal_discovery_gain_mean,novelty_decay,singletons_f1,doubletons_f2,singleton_ratio,doubleton_ratio,per_source_singleton_density,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio",936,468,936,0.811965811965812,0.9027175538277512,0.9778518925670375,0.10354867581399443,,0,0,,,0.0,1.0
feature_ablation:no_overlap_or_correlation,gradient_boosting,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2;requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2,local_policy_docs/synthetic_policy_docs/s3;click/real_repo_click_deprecation/s3;requests/real_repo_requests_tls/s3,local_policy_docs/synthetic_policy_docs/s4;local_policy_docs/synthetic_policy_docs/s5;click/real_repo_click_deprecation/s4;click/real_repo_click_deprecation/s5;requests/real_repo_requests_tls/s4;requests/real_repo_requests_tls/s5,"nominal_agent_count,mean_confidence,source_coverage,marginal_discovery_gain_last,marginal_discovery_gain_mean,novelty_decay,singletons_f1,doubletons_f2,singleton_ratio,doubleton_ratio,per_source_singleton_density,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio",936,468,936,0.811965811965812,0.99918884569378,0.9997710636880823,0.017930692495114614,0.3970199223750885,171,3,0.017543859649122806,0.04471621425955997,0.9545454545454546,0.8173076923076923
feature_ablation:no_source_path,regularized_logistic,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2;requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2,local_policy_docs/synthetic_policy_docs/s3;click/real_repo_click_deprecation/s3;requests/real_repo_requests_tls/s3,local_policy_docs/synthetic_policy_docs/s4;local_policy_docs/synthetic_policy_docs/s5;click/real_repo_click_deprecation/s4;click/real_repo_click_deprecation/s5;requests/real_repo_requests_tls/s4;requests/real_repo_requests_tls/s5,"nominal_agent_count,mean_confidence,output_jaccard,marginal_discovery_gain_last,marginal_discovery_gain_mean,novelty_decay,singletons_f1,doubletons_f2,singleton_ratio,doubleton_ratio,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio,effective_exploration_size",936,468,936,0.811965811965812,0.8871747906698565,0.9734938704004213,0.10659772504861606,,0,0,,,0.0,1.0
feature_ablation:no_source_path,gradient_boosting,local_policy_docs/synthetic_policy_docs/s1;local_policy_docs/synthetic_policy_docs/s2;click/real_repo_click_deprecation/s1;click/real_repo_click_deprecation/s2;requests/real_repo_requests_tls/s1;requests/real_repo_requests_tls/s2,local_policy_docs/synthetic_policy_docs/s3;click/real_repo_click_deprecation/s3;requests/real_repo_requests_tls/s3,local_policy_docs/synthetic_policy_docs/s4;local_policy_docs/synthetic_policy_docs/s5;click/real_repo_click_deprecation/s4;click/real_repo_click_deprecation/s5;requests/real_repo_requests_tls/s4;requests/real_repo_requests_tls/s5,"nominal_agent_count,mean_confidence,output_jaccard,marginal_discovery_gain_last,marginal_discovery_gain_mean,novelty_decay,singletons_f1,doubletons_f2,singleton_ratio,doubleton_ratio,good_turing_missing_mass,chao_missing_ratio,corr_adjusted_chao_missing_ratio,effective_exploration_size",936,468,936,0.811965811965812,0.9936191686602872,0.998318393429669,0.032724195351178625,,0,0,,,0.0,1.0
