feature,pearson_with_residual_missing_mass,spearman_with_residual_missing_mass
nominal_agent_count,-0.15386986865793376,-0.14829341110184657
mean_confidence,-0.3230914816138406,-0.31034079406955317
output_jaccard,0.06628549005194946,0.11658150195451315
source_overlap,0.06646581722562749,0.10908879855049465
source_coverage,-0.11468942514580023,-0.19605296821389226
query_similarity,0.0641621614685594,0.0852921070809432
search_path_overlap,0.0641621614685594,0.0852921070809432
marginal_discovery_gain_last,-0.050359088297500805,-0.41075612351579316
marginal_discovery_gain_mean,-0.059714073912490964,-0.46426748873264984
novelty_decay,-0.11548429737461963,-0.16630527056308106
singletons_f1,-0.10428238964699064,-0.42335706998379474
doubletons_f2,-0.11789304471385219,-0.18305621102648628
singleton_ratio,0.28406686514473656,0.21930061074141508
doubleton_ratio,-0.19483953915183233,-0.18327421621112122
per_source_singleton_density,0.14767457023478447,0.10320604371358227
good_turing_missing_mass,0.27566398171406226,0.2193590764715871
chao_missing_ratio,0.06565371681038537,-0.2757631466819201
corr_adjusted_chao_missing_ratio,0.05815450930092048,-0.2770486501798724
effective_exploration_size,-0.029746516977718435,-0.11947971253086546
v1_risk_proxy,0.32096632615668325,0.32253610651790887
