method,risk_threshold,coverage,false_certification_rate,certified
v1_handcrafted_rule,0.0,0.0,,0
v1_handcrafted_rule,0.05,0.0,,0
v1_handcrafted_rule,0.1,0.0,,0
v1_handcrafted_rule,0.15000000000000002,0.005341880341880342,0.0,5
v1_handcrafted_rule,0.2,0.009615384615384616,0.0,9
v1_handcrafted_rule,0.25,0.019230769230769232,0.0,18
v1_handcrafted_rule,0.30000000000000004,0.021367521367521368,0.0,20
v1_handcrafted_rule,0.35000000000000003,0.021367521367521368,0.0,20
v1_handcrafted_rule,0.4,0.021367521367521368,0.0,20
v1_handcrafted_rule,0.45,0.021367521367521368,0.0,20
v1_handcrafted_rule,0.5,0.021367521367521368,0.0,20
v1_handcrafted_rule,0.55,0.021367521367521368,0.0,20
v1_handcrafted_rule,0.6000000000000001,0.024572649572649572,0.08695652173913043,23
v1_handcrafted_rule,0.65,0.03632478632478633,0.38235294117647056,34
v1_handcrafted_rule,0.7000000000000001,0.05555555555555555,0.5,52
v1_handcrafted_rule,0.75,0.06623931623931624,0.5806451612903226,62
v1_handcrafted_rule,0.8,0.11645299145299146,0.7247706422018348,109
v1_handcrafted_rule,0.8500000000000001,0.20405982905982906,0.8429319371727748,191
v1_handcrafted_rule,0.9,0.32051282051282054,0.9,300
v1_handcrafted_rule,0.9500000000000001,0.8899572649572649,0.7887154861944778,833
v1_handcrafted_rule,1.0,1.0,0.811965811965812,936
confidence_only,0.0,0.0,,0
confidence_only,0.05,0.0,,0
confidence_only,0.1,0.06837606837606838,0.734375,64
confidence_only,0.15000000000000002,0.4658119658119658,0.7362385321100917,436
confidence_only,0.2,0.8589743589743589,0.7810945273631841,804
confidence_only,0.25,0.8728632478632479,0.784577723378213,817
confidence_only,0.30000000000000004,0.8878205128205128,0.7882069795427196,831
confidence_only,0.35000000000000003,0.9102564102564102,0.7934272300469484,852
confidence_only,0.4,0.9401709401709402,0.8,880
confidence_only,0.45,0.9636752136752137,0.8048780487804879,902
confidence_only,0.5,0.9839743589743589,0.8089033659066233,921
confidence_only,0.55,1.0,0.811965811965812,936
confidence_only,0.6000000000000001,1.0,0.811965811965812,936
